pulse_id,pdw_id,assigned_track_id,candidate_track_id,frequency_score,pri_score,pw_score,confidence_score,total_score,decision_threshold,accepted,rejection_reason
1,1001,,,0.0,0.0,0.0,0.9797,0.0,0.6,False,No active tracks
2,1002,1,1,1.0,0.0,1.0,0.9789,0.9965,0.6,True,
3,1003,1,1,1.0,0.8,0.9864,0.9794,0.9159,0.6,True,
4,1004,,1,0.0,0.0,0.0,0.9927,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
5,1005,1,1,1.0,1.0,0.9954,0.979,1.2472,0.6,True,
5,1005,,2,0.0,0.0,0.0,0.979,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
6,1006,,1,0.0,0.0,0.0,0.7003,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
6,1006,,2,1.0,0.0,0.0,0.7003,0.0,0.6,False,PW delta (5.80 us) > gate (5.49 us)
7,1007,,1,0.0,0.0,0.0,0.8558,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
7,1007,,2,0.0,0.0,0.0,0.8558,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
7,1007,,3,0.0,0.0,0.0,0.8558,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
8,1008,1,1,1.0,1.0,0.9761,0.9727,1.2437,0.6,True,
8,1008,,2,0.0,0.0,0.0,0.9727,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
8,1008,,3,0.0,0.0,0.0,0.9727,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
8,1008,,4,0.0,0.0,0.0,0.9727,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
9,1009,,1,0.0,0.0,0.0,0.8473,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
9,1009,,2,0.0,0.0,0.0,0.8473,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
9,1009,,3,0.0,0.0,0.0,0.8473,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
9,1009,4,4,1.0,0.0,1.0,0.8473,0.9745,0.6,True,
10,1010,,1,0.0,0.0,0.0,0.9898,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
10,1010,2,2,1.0,0.0,0.9727,0.9898,0.9915,0.6,True,
10,1010,3,3,1.0,0.0,0.2654,0.9898,0.8147,0.6,True,
10,1010,,4,0.0,0.0,0.0,0.9898,0.0,0.6,False,Delta-ToA (9.9 us) < min_pri (10.0 us)
11,1011,,1,0.0,0.0,0.0,0.8534,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
11,1011,,2,0.0,0.0,0.0,0.8534,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
11,1011,,3,0.0,0.0,0.0,0.8534,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
11,1011,4,4,1.0,0.8,0.9776,0.8534,0.902,0.6,True,
12,1012,1,1,1.0,0.9999,0.9918,0.9799,1.2467,0.6,True,
12,1012,,2,0.0,0.0,0.0,0.9799,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
12,1012,,3,0.0,0.0,0.0,0.9799,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
12,1012,,4,0.0,0.0,0.0,0.9799,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
13,1013,,1,0.0,0.0,0.0,0.7335,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
13,1013,,2,1.0,0.0,0.9863,0.7335,0.0,0.6,False,Tentative interval residual (110.0 us) inconsistent
13,1013,3,3,1.0,0.0,0.2654,0.7335,0.7719,0.6,True,
13,1013,,4,0.0,0.0,0.0,0.7335,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
14,1014,1,1,1.0,1.0,0.9795,0.9796,1.2449,0.6,True,
14,1014,,2,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
14,1014,,3,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
14,1014,,4,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
15,1015,,1,0.0,0.0,0.0,0.8533,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
15,1015,,2,0.0,0.0,0.0,0.8533,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
15,1015,,3,0.0,0.0,0.0,0.8533,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
15,1015,4,4,1.0,1.0,0.9925,0.8533,1.2342,0.6,True,
16,1016,,1,0.0,0.0,0.0,0.7342,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
16,1016,2,2,1.0,0.8,0.4731,0.7342,0.8144,0.6,True,
16,1016,,3,1.0,0.0,0.9963,0.7342,0.0,0.6,False,Tentative interval residual (110.0 us) inconsistent
16,1016,,4,0.0,0.0,0.0,0.7342,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
17,1017,,1,0.0,0.0,0.0,0.857,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
17,1017,,2,0.0,0.0,0.0,0.857,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
17,1017,,3,0.0,0.0,0.0,0.857,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
17,1017,4,4,1.0,0.1958,0.9832,0.857,0.9115,0.6,True,
18,1018,1,1,1.0,1.0,0.9961,0.9799,1.2474,0.6,True,
18,1018,,2,0.0,0.0,0.0,0.9799,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
18,1018,,3,0.0,0.0,0.0,0.9799,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
18,1018,,4,0.0,0.0,0.0,0.9799,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
19,1019,,1,0.0,0.0,0.0,0.9923,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
19,1019,,2,1.0,0.0,0.833,0.9923,0.0,0.6,False,Timing residual (110.1 us) > tol (26.4 us)
19,1019,3,3,1.0,0.8,0.5674,0.9923,0.8543,0.6,True,
19,1019,,4,0.0,0.0,0.0,0.9923,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
20,1020,,1,0.0,0.0,0.0,0.8558,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
20,1020,,2,0.0,0.0,0.0,0.8558,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
20,1020,,3,0.0,0.0,0.0,0.8558,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
20,1020,4,4,1.0,1.0,0.9866,0.8558,1.2336,0.6,True,
21,1021,1,1,1.0,1.0,0.9966,0.9796,1.2474,0.6,True,
21,1021,,2,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
21,1021,,3,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (5.50 MHz) outside gate
21,1021,,4,0.0,0.0,0.0,0.9796,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
22,1022,,1,0.0,0.0,0.0,0.8531,0.0,0.6,False,Freq delta (3.00 MHz) outside gate
22,1022,,2,0.0,0.0,0.0,0.8531,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
22,1022,,3,0.0,0.0,0.0,0.8531,0.0,0.6,False,Freq delta (2.50 MHz) outside gate
22,1022,4,4,1.0,0.9999,0.9888,0.8531,1.2336,0.6,True,
